h n1 d n2 err
786.000000 6.000000 0.612365 69.000000 0.159700
785.000000 11.000000 0.579664 23.000000 0.159700
795.000000 12.000000 0.754238 79.000000 0.159750
826.000000 12.000000 0.790319 50.000000 0.159750
824.000000 10.000000 0.507621 32.000000 0.159750
820.000000 12.000000 0.523937 27.000000 0.159750
804.000000 8.000000 0.460012 34.000000 0.159800
909.000000 10.000000 0.491959 61.000000 0.159850
750.000000 9.000000 0.594191 59.000000 0.159850
794.000000 12.000000 0.640964 11.000000 0.159900
875.000000 6.000000 0.588225 54.000000 0.159900
858.000000 7.000000 0.533931 82.000000 0.159900
898.000000 3.000000 0.516622 41.000000 0.159950
862.000000 8.000000 0.715512 91.000000 0.159950
849.000000 5.000000 0.349210 76.000000 0.159950
729.000000 11.000000 0.633087 65.000000 0.159950
773.000000 14.000000 0.631763 38.000000 0.160000
841.000000 8.000000 0.532565 42.000000 0.160000
719.000000 14.000000 0.734468 49.000000 0.160000
858.000000 14.000000 0.469923 25.000000 0.160000
924.000000 13.000000 0.519898 18.000000 0.160050
780.000000 12.000000 0.629138 64.000000 0.160050
877.000000 10.000000 0.467862 45.000000 0.160050
850.000000 11.000000 0.610667 36.000000 0.160100
760.000000 12.000000 0.666028 32.000000 0.160100
797.000000 13.000000 0.696159 44.000000 0.160150
881.000000 5.000000 0.736560 66.000000 0.160200
828.000000 10.000000 0.525477 49.000000 0.160200
910.000000 9.000000 0.314964 40.000000 0.160200
808.000000 4.000000 0.538484 38.000000 0.160250
764.000000 11.000000 0.680509 74.000000 0.160250
791.000000 8.000000 0.558034 48.000000 0.160250
922.000000 10.000000 0.396681 53.000000 0.160300
834.000000 12.000000 0.668894 63.000000 0.160300
805.000000 6.000000 0.432477 83.000000 0.160350
860.000000 9.000000 0.742506 54.000000 0.160350
742.000000 13.000000 0.774340 77.000000 0.160400
818.000000 8.000000 0.764132 77.000000 0.160400
839.000000 13.000000 0.712169 33.000000 0.160400
796.000000 7.000000 0.543479 32.000000 0.160400
807.000000 6.000000 0.575615 45.000000 0.160450
916.000000 8.000000 0.226424 32.000000 0.160450
891.000000 8.000000 0.320097 55.000000 0.160450
836.000000 5.000000 0.576861 70.000000 0.160450
813.000000 13.000000 0.575157 42.000000 0.160450
821.000000 11.000000 0.574376 83.000000 0.160500
761.000000 11.000000 0.647120 45.000000 0.160500
731.000000 12.000000 0.746277 38.000000 0.160500
768.000000 9.000000 0.669846 87.000000 0.160550
757.000000 7.000000 0.498269 18.000000 0.160550
785.000000 8.000000 0.640349 57.000000 0.160550
762.000000 8.000000 0.482837 32.000000 0.160550
873.000000 7.000000 0.287508 41.000000 0.160600
747.000000 13.000000 0.654790 56.000000 0.160600
921.000000 5.000000 0.607580 47.000000 0.160600
815.000000 6.000000 0.494171 67.000000 0.160600
867.000000 10.000000 0.403059 32.000000 0.160650
789.000000 6.000000 0.465490 53.000000 0.160650
893.000000 5.000000 0.405343 89.000000 0.160700
762.000000 13.000000 0.746323 23.000000 0.160700
829.000000 7.000000 0.449798 55.000000 0.160700
808.000000 10.000000 0.555766 63.000000 0.160700
776.000000 4.000000 0.340652 62.000000 0.160750
898.000000 6.000000 0.359734 36.000000 0.160750
878.000000 6.000000 0.366554 59.000000 0.160800
780.000000 13.000000 0.514497 14.000000 0.160800
865.000000 9.000000 0.439475 56.000000 0.160850
935.000000 6.000000 0.397785 72.000000 0.160850
832.000000 8.000000 0.679277 27.000000 0.160850
713.000000 12.000000 0.679835 26.000000 0.160850
865.000000 7.000000 0.731755 47.000000 0.160850
685.000000 14.000000 0.707362 22.000000 0.160900
751.000000 8.000000 0.689685 19.000000 0.160900
806.000000 9.000000 0.622257 74.000000 0.160900
808.000000 8.000000 0.522750 71.000000 0.160950
756.000000 9.000000 0.680801 45.000000 0.160950
858.000000 4.000000 0.456572 61.000000 0.160950
864.000000 8.000000 0.859752 75.000000 0.161000
783.000000 9.000000 0.816130 88.000000 0.161050
805.000000 5.000000 0.421690 51.000000 0.161100
887.000000 4.000000 0.542558 70.000000 0.161100
946.000000 10.000000 0.388591 24.000000 0.161150
873.000000 9.000000 0.333335 20.000000 0.161150
822.000000 7.000000 0.517557 23.000000 0.161150
841.000000 10.000000 0.431145 42.000000 0.161150
824.000000 12.000000 0.526838 30.000000 0.161150
842.000000 7.000000 0.752417 61.000000 0.161200
839.000000 12.000000 0.680509 67.000000 0.161250
782.000000 9.000000 0.682327 31.000000 0.161250
768.000000 10.000000 0.559839 74.000000 0.161300
861.000000 11.000000 0.810396 67.000000 0.161350
780.000000 11.000000 0.605550 63.000000 0.161400
869.000000 12.000000 0.722155 22.000000 0.161400
864.000000 12.000000 0.387508 20.000000 0.161400
799.000000 5.000000 0.495644 65.000000 0.161450
741.000000 12.000000 0.752956 58.000000 0.161450
781.000000 8.000000 0.529921 57.000000 0.161450
783.000000 7.000000 0.696105 79.000000 0.161500
812.000000 12.000000 0.502944 32.000000 0.161500
771.000000 6.000000 0.449604 46.000000 0.161500
895.000000 6.000000 0.297754 71.000000 0.161550
795.000000 8.000000 0.481949 46.000000 0.161550
765.000000 9.000000 0.540718 47.000000 0.161600
748.000000 10.000000 0.613806 14.000000 0.161600
777.000000 7.000000 0.656456 36.000000 0.161600
836.000000 5.000000 0.395776 36.000000 0.161600
666.000000 10.000000 0.660246 63.000000 0.161650
813.000000 7.000000 0.756427 40.000000 0.161650
732.000000 6.000000 0.390516 41.000000 0.161650
740.000000 11.000000 0.711763 73.000000 0.161650
792.000000 8.000000 0.526755 66.000000 0.161700
729.000000 11.000000 0.596455 31.000000 0.161700
833.000000 9.000000 0.426378 21.000000 0.161700
820.000000 5.000000 0.407402 61.000000 0.161700
834.000000 8.000000 0.418153 76.000000 0.161750
806.000000 7.000000 0.498404 67.000000 0.161750
837.000000 7.000000 0.714197 66.000000 0.161750
848.000000 6.000000 0.477336 71.000000 0.161800
731.000000 9.000000 0.759664 74.000000 0.161800
678.000000 14.000000 0.818745 58.000000 0.161800
890.000000 3.000000 0.429782 74.000000 0.161850
819.000000 9.000000 0.760672 74.000000 0.161850
719.000000 13.000000 0.675232 70.000000 0.161850
846.000000 7.000000 0.638511 71.000000 0.161900
806.000000 6.000000 0.564828 51.000000 0.161900
830.000000 9.000000 0.423271 25.000000 0.161900
899.000000 6.000000 0.364505 31.000000 0.161950
713.000000 10.000000 0.623641 50.000000 0.161950
804.000000 8.000000 0.527875 70.000000 0.161950
873.000000 10.000000 0.792548 51.000000 0.162000
888.000000 9.000000 0.694231 61.000000 0.162050
763.000000 10.000000 0.809403 64.000000 0.162050
775.000000 7.000000 0.339163 50.000000 0.162100
741.000000 7.000000 0.587762 48.000000 0.162100
725.000000 9.000000 0.614604 75.000000 0.162100
878.000000 10.000000 0.821487 85.000000 0.162150
845.000000 11.000000 0.487707 22.000000 0.162150
721.000000 10.000000 0.644435 51.000000 0.162150
884.000000 7.000000 0.702245 37.000000 0.162200
788.000000 9.000000 0.502319 86.000000 0.162200
831.000000 10.000000 0.452649 67.000000 0.162200
825.000000 11.000000 0.507420 67.000000 0.162200
675.000000 9.000000 0.662625 79.000000 0.162250
754.000000 11.000000 0.660162 80.000000 0.162250
794.000000 9.000000 0.418594 25.000000 0.162250
800.000000 7.000000 0.498443 70.000000 0.162250
912.000000 7.000000 0.693761 67.000000 0.162300
816.000000 7.000000 0.408597 28.000000 0.162300
865.000000 11.000000 0.415103 49.000000 0.162350
792.000000 5.000000 0.346902 33.000000 0.162400
789.000000 13.000000 0.549223 48.000000 0.162400
881.000000 5.000000 0.536490 40.000000 0.162400
850.000000 12.000000 0.496326 22.000000 0.162450
736.000000 13.000000 0.531725 54.000000 0.162550
824.000000 7.000000 0.351245 44.000000 0.162550
791.000000 15.000000 0.795458 48.000000 0.162600
927.000000 5.000000 0.587605 61.000000 0.162600
788.000000 11.000000 0.500028 60.000000 0.162600
804.000000 7.000000 0.365773 40.000000 0.162600
888.000000 7.000000 0.307610 89.000000 0.162650
843.000000 4.000000 0.575741 60.000000 0.162650
836.000000 11.000000 0.653700 51.000000 0.162650
809.000000 9.000000 0.418806 42.000000 0.162650
825.000000 5.000000 0.237678 30.000000 0.162700
729.000000 10.000000 0.705212 59.000000 0.162700
791.000000 7.000000 0.462203 41.000000 0.162750
811.000000 8.000000 0.459432 39.000000 0.162750
809.000000 8.000000 0.530634 82.000000 0.162750
805.000000 12.000000 0.515514 26.000000 0.162750
829.000000 5.000000 0.402070 51.000000 0.162750
696.000000 11.000000 0.730649 46.000000 0.162800
939.000000 6.000000 0.339719 42.000000 0.162900
712.000000 10.000000 0.849842 91.000000 0.162900
862.000000 10.000000 0.450083 33.000000 0.162900
785.000000 9.000000 0.805243 39.000000 0.162900
742.000000 9.000000 0.614867 64.000000 0.162950
822.000000 7.000000 0.429415 58.000000 0.162950
691.000000 12.000000 0.742122 59.000000 0.162950
805.000000 10.000000 0.453424 42.000000 0.162950
863.000000 6.000000 0.682630 42.000000 0.163000
739.000000 12.000000 0.575510 28.000000 0.163000
741.000000 7.000000 0.610626 77.000000 0.163000
683.000000 12.000000 0.615313 86.000000 0.163000
779.000000 5.000000 0.518049 75.000000 0.163050
949.000000 7.000000 0.148136 23.000000 0.163050
872.000000 14.000000 0.404157 12.000000 0.163050
683.000000 13.000000 0.660692 40.000000 0.163100
723.000000 12.000000 0.769151 61.000000 0.163100
898.000000 10.000000 0.326004 37.000000 0.163100
793.000000 6.000000 0.385185 37.000000 0.163100
744.000000 8.000000 0.500679 64.000000 0.163150
850.000000 4.000000 0.500414 47.000000 0.163150
775.000000 6.000000 0.425851 65.000000 0.163200
711.000000 11.000000 0.579630 58.000000 0.163200
803.000000 10.000000 0.908111 68.000000 0.163250
723.000000 4.000000 0.195461 20.000000 0.163300
806.000000 6.000000 0.597349 32.000000 0.163300
909.000000 8.000000 0.323173 49.000000 0.163300
798.000000 6.000000 0.327608 72.000000 0.163350
795.000000 8.000000 0.409429 42.000000 0.163400
743.000000 8.000000 0.496035 58.000000 0.163450
788.000000 8.000000 0.548893 48.000000 0.163500
855.000000 6.000000 0.304782 20.000000 0.163600
715.000000 10.000000 0.652671 30.000000 0.163600
786.000000 5.000000 0.676229 43.000000 0.163600
901.000000 8.000000 0.812269 59.000000 0.163650
717.000000 10.000000 0.567277 79.000000 0.163650
720.000000 6.000000 0.611422 32.000000 0.163700
816.000000 12.000000 0.805230 18.000000 0.163700
852.000000 8.000000 0.322325 60.000000 0.163700
793.000000 8.000000 0.451573 47.000000 0.163700
841.000000 10.000000 0.423392 46.000000 0.163700
905.000000 7.000000 0.940123 98.000000 0.163750
925.000000 9.000000 0.267461 48.000000 0.163750
