h n1 d n2 e err
349.000000 3.000000 0.030018 29.000000 14.000000 0.184900
320.000000 2.000000 0.093350 4.000000 6.000000 0.185000
305.000000 5.000000 0.030884 5.000000 12.000000 0.185350
412.000000 5.000000 0.299853 5.000000 12.000000 0.185350
366.000000 4.000000 0.075113 27.000000 15.000000 0.185500
311.000000 7.000000 0.199611 22.000000 12.000000 0.185550
313.000000 7.000000 0.294236 40.000000 15.000000 0.186400
372.000000 1.000000 0.243797 7.000000 5.000000 0.186500
320.000000 5.000000 0.142785 18.000000 14.000000 0.186900
288.000000 6.000000 0.029678 26.000000 4.000000 0.186950
320.000000 4.000000 0.026670 38.000000 4.000000 0.187150
285.000000 1.000000 0.065417 32.000000 9.000000 0.188100
284.000000 3.000000 0.130798 50.000000 14.000000 0.188600
269.000000 5.000000 0.089471 50.000000 8.000000 0.188750
294.000000 5.000000 0.297959 19.000000 6.000000 0.189000
284.000000 3.000000 0.180878 27.000000 12.000000 0.189400
408.000000 1.000000 0.258369 6.000000 14.000000 0.189600
383.000000 1.000000 0.278255 25.000000 13.000000 0.190050
262.000000 4.000000 0.091907 4.000000 6.000000 0.190600
315.000000 1.000000 0.279970 40.000000 11.000000 0.190700
242.000000 5.000000 0.157716 44.000000 15.000000 0.190800
278.000000 3.000000 0.291146 47.000000 11.000000 0.190850
298.000000 2.000000 0.223857 46.000000 5.000000 0.191500
261.000000 4.000000 0.045869 27.000000 15.000000 0.191700
257.000000 5.000000 0.026491 40.000000 12.000000 0.191750
257.000000 5.000000 0.044248 27.000000 11.000000 0.191750
252.000000 5.000000 0.174835 14.000000 10.000000 0.192350
288.000000 2.000000 0.263155 16.000000 15.000000 0.192500
258.000000 5.000000 0.221941 15.000000 13.000000 0.193000
228.000000 2.000000 0.025714 17.000000 12.000000 0.193050
295.000000 1.000000 0.056581 16.000000 4.000000 0.193850
239.000000 3.000000 0.022204 26.000000 12.000000 0.193900
251.000000 6.000000 0.069346 38.000000 11.000000 0.196000
234.000000 2.000000 0.295596 10.000000 11.000000 0.196900
986.000000 2.000000 0.343797 4.000000 1.000000 0.197500
215.000000 7.000000 0.298141 10.000000 14.000000 0.199700
987.000000 2.000000 0.341261 2.000000 4.000000 0.229600
984.000000 1.000000 0.262504 2.000000 4.000000 0.239850
